date, pm25, pm10, o3, no2, so2, co
2024/9/14, 43, 33, , 15, 4, 5
2024/9/15, 58, 40, , 15, 7, 8
2024/9/16, 77, 44, , 24, 5, 7
2024/9/17, 94, 47, , 23, 4, 10
2024/9/18, 86, 49, , 19, 6, 11
2024/9/19, 88, 34, , 9, 3, 2
2024/9/20, 32, 24, , 9, 3, 2
2024/9/21, 38, 42, , 17, 4, 4
2024/9/22, 61, 44, , 17, 6, 8
2024/9/23, 86, 40, , 16, 8, 6
2024/9/24, 69, 25, , 14, 8, 4
2024/9/25, 68, 34, , 20, 3, 6
2024/9/26, 63, 52, , 28, 5, 8
2024/9/27, 93, 55, , 22, 7, 9
2024/9/28, 106, 38, , 16, 9, 7
2024/9/29, 83, 30, , 10, 3, 3
2024/9/30, 37, 24, , 16, 4, 4
2024/4/1, 89, 71, , 24, 7, 7
2024/4/2, 157, 49, , 13, 4, 2
2024/4/3, 75, 60, , 13, 4, 3
2024/4/4, 107, 96, , 20, 8, 8
2024/4/5, 176, 79, , 12, 8, 6
2024/4/6, 159, 79, , 15, 8, 6
2024/4/7, 127, 98, , 11, 5, 3
2024/4/8, 133, 120, , 30, 6, 6
2024/4/9, 220, 109, , 32, 12, 9
2024/4/10, 202, 54, , 8, 6, 4
2024/4/11, 107, 43, , 8, 7, 4
2024/4/12, 76, 42, , 8, 8, 4
2024/4/13, 70, 37, , 9, 7, 2
2024/4/14, 79, 191, , 14, 6, 2
2024/4/15, 131, 113, , 14, 5, 2
2024/4/16, 110, 70, , 16, 7, 7
2024/4/17, 92, 54, , 14, 9, 5
2024/4/18, 87, 56, , 16, 5, 4
2024/4/19, 111, 101, , 21, 7, 8
2024/4/20, 199, 66, , 14, 6, 6
2024/4/21, 111, 44, , 8, 7, 5
2024/4/22, 82, 43, , 12, 5, 5
2024/4/23, 82, 39, , 12, 5, 6
2024/4/24, 81, 46, , 9, 6, 5
2024/4/25, 68, 59, , 16, 6, 8
2024/4/26, 98, 53, , 10, 6, 5
2024/4/27, 85, 31, , 10, 3, 3
2024/4/28, 52, 33, , 12, 3, 3
2024/4/29, 83, 46, , 20, 5, 3
2024/4/30, 113, 44, , 15, 8, 6
2024/5/1, 80, 50, , 9, 8, 4
2024/5/2, 82, 52, , 9, 10, 4
2024/5/3, 99, 45, , 9, 9, 4
2024/5/4, 85, 29, , 12, 6, 4
2024/5/5, 65, 37, , 9, 3, 3
2024/5/6, 88, 45, , 12, 4, 3
2024/5/7, 85, 46, , 18, 6, 6
2024/5/8, 96, 59, , 10, 5, 4
2024/5/9, 72, 54, , 7, 6, 4
2024/5/10, 80, 70, , 8, 4, 3
2024/5/11, 75, 44, , 10, 3, 3
2024/5/12, 50, 43, , 11, 8, 7
2024/5/13, 76, 50, , 10, 5, 4
2024/5/14, 57, 41, , 13, 4, 3
2024/5/15, 50, 44, , 19, 5, 7
2024/5/16, 82, 42, , 13, 7, 6
2024/5/17, 70, 44, , 9, 6, 5
2024/5/18, 84, 34, , 12, 4, 4
2024/5/19, 67, 19, , 9, 4, 7
2024/5/20, 57, 39, , 13, 6, 10
2024/5/21, 86, 33, , 8, 5, 5
