date, pm25, pm10, o3, no2, so2, co
2024/9/5, 50, 35, 29, 8, 3, 5
2024/9/6, 78, 38, 31, 8, 3, 5
2024/9/7, 92, 23, 25, 7, 3, 3
2024/9/8, 65, 18, 24, 7, 3, 2
2024/9/9, 47, 25, 29, 8, 3, 3
2024/9/10, 64, 13, 16, 6, 2, 2
2024/9/11, 29, 21, 47, 6, 2, 3
2024/9/12, 54, 15, 31, 7, 3, 3
2024/9/13, 36, 14, 19, 8, 3, 3
2024/9/14, 36, 20, 26, 4, 3, 3
2024/9/15, 46, 15, 22, 4, 3, 2
2024/9/16, 28, 18, 20, 4, 3, 2
2024/9/17, 34, 20, 18, 6, 3, 3
2024/9/18, 45, 23, 11, 4, 3, 3
2024/9/19, 36, 14, 24, 7, , 4
2024/9/20, 34, 17, 28, 8, 3, 5
2024/9/21, 49, 25, 36, 7, 3, 5
2024/9/22, 47, 23, 38, 10, 3, 5
2024/9/23, 38, 22, 27, 14, 3, 6
2024/9/24, 53, 17, 25, 15, 3, 5
2024/9/25, 48, 12, 31, 17, 3, 5
2024/9/26, 44, 23, 56, 10, 3, 6
2024/9/27, 48, 29, 52, 8, 3, 5
2024/9/28, 64, 29, 36, 8, 3, 4
2024/9/29, 51, 29, 31, 7, 3, 4
2024/9/30, 65, 16, 33, 6, 3, 5
2024/4/1, 112, 25, 41, 13, 3, 4
2024/4/2, 69, 24, 42, 9, 3, 5
2024/4/3, 70, 37, 50, 9, 3, 4
2024/4/4, 79, 49, 57, 7, 3, 4
2024/4/5, 84, 36, 41, 9, 3, 3
2024/4/6, 83, 34, 44, 15, 3, 4
2024/4/7, 84, 25, 39, 17, 3, 4
2024/4/8, 74, 47, 62, 22, 4, 5
2024/4/9, 106, 52, 64, 12, 3, 3
2024/4/10, 104, 43, 44, 13, 3, 3
2024/4/11, 74, 25, 22, 15, 3, 3
2024/4/12, 62, 18, 35, 11, , 3
2024/4/13, 62, 18, 29, 11, 3, 3
2024/4/14, 49, 43, 56, 14, 3, 5
2024/4/15, 113, 33, 37, 16, 3, 4
2024/4/16, 91, 19, 36, 14, 3, 3
2024/4/17, 52, 68, 38, 16, 3, 4
2024/4/18, 82, 105, 44, 12, 3, 2
2024/4/19, 99, 47, 51, 9, 3, 5
2024/4/20, 82, 30, 37, 11, 3, 4
2024/4/21, 75, 26, 37, 9, 3, 3
2024/4/22, 74, 30, 38, 14, 3, 5
2024/4/23, 85, 35, 60, 10, 3, 4
2024/4/24, 83, 28, 51, 9, 3, 2
2024/4/25, 49, 32, 49, 6, 3, 2
2024/4/26, 60, 22, 34, 8, 3, 2
2024/4/27, 59, 23, 30, 10, , 3
2024/4/28, 57, 30, 32, 11, 3, 4
2024/4/29, 87, 32, 41, 11, 3, 3
2024/4/30, 83, 26, 46, 8, 3, 3
2024/5/1, 73, 31, 40, 10, 3, 2
2024/5/2, 63, 30, 50, 7, 3, 2
2024/5/3, 61, 29, 40, 7, 3, 2
2024/5/4, 74, 27, 30, 8, 3, 6
2024/5/5, 74, 44, 74, 9, 3, 6
2024/5/6, 116, 45, 69, 14, 3, 6
2024/5/7, 115, 31, 45, 9, 3, 4
2024/5/8, 85, 18, 40, 7, 3, 3
2024/5/9, 54, 25, 64, 4, 3, 3
2024/5/10, 52, 44, 33, 12, 3, 5
2024/5/11, 90, 57, 43, 12, 4, 4
2024/5/12, 94, 60, 53, 15, 4, 4
2024/5/13, 76, 37, 77, 13, 3, 3
2024/5/14, 71, 40, 54, 11, 3, 3
2024/5/15, 74, 27, 65, 13, 3, 3
2024/5/16, 65, 29, 77, 8, 3, 3
2024/5/17, 63, 30, 61, 6, 3, 3
2024/5/18, 60, 27, 38, 5, 3, 2
2024/5/19, 60, 22, 34, 5, , 2
2024/5/20, 53, 22, 36, 8, 4, 2
2024/5/21, 60, 31, 43, 9, 4, 1
2024/5/22, 73, 19, 40, 6, 3, 2
2024/5/23, 55, 18, 38, 5, , 4
2024/5/24, 54, 19, 36, 5, , 4
2024/5/25, 56, 24, 62, 7, 3, 5
2024/5/26, 66, 21, 39, 7, 3, 3
2024/5/27, 57, 16, 48, 9, 4, 3
2024/5/28, 42, 19, 48, 11, 3, 2
2024/5/29, 46, 31, 59, 7, 3, 2
2024/5/30, 53, 36, 33, 13, 3, 8
2024/5/31, 99, 41, 53, 11, 3, 7
2024/6/1, 112, 12, 48, 11, 3, 4
2024/6/2, 46, 34, 107, 15, 4, 5
2024/6/3, 67, 44, 83, 9, 4, 6
2024/6/4, 85, 23, 47, 9, 3, 4
2024/6/5, 52, 12, 50, 10, 3, 4
2024/6/6, 42, 16, 42, 11, 4, 4
2024/6/7, 45, 19, 48, 10, 3, 5
2024/6/8, 51, 27, 97, 12, 3, 4
2024/6/9, 74, 21, 50, 9, 3, 3
2024/6/10, 55, 11, 44, 7, , 3
2024/6/11, 30, 23, 36, 12, 3, 4
2024/6/12, 62, 38, 58, 11, 3, 5
2024/6/13, 107, 25, 55, 9, 3, 4
2024/6/14, 77, 18, 56, 10, 3, 4
2024/6/15, 57, 20, 44, 12, 3, 4
2024/6/16, 54, 13, 42, 9, 2, 3
2024/6/17, 37, 16, 58, 8, 2, 4
2024/6/18, 44, 16, 34, 10, 2, 4
2024/6/19, 40, 22, 22, 16, 2, 7
2024/6/20, 68, 30, 9, 23, 2, 7
2024/6/21, 86, 29, 36, 17, , 6
2024/6/22, 84, 20, 32, 10, 2, 5
2024/6/23, 51, 24, 28, 15, , 6
2024/6/24, 68, 27, 40, 14, , 6
2024/6/25, 67, 17, 31, 12, 2, 5
2024/6/26, 52, 11, 25, 13, , 6
2024/6/27, 39, 15, 18, 13, , 6
2024/6/28, 46, 24, 33, 10, 2, 5
2024/6/29, 68, 17, 18, 11, 2, 5
2024/6/30, 45, 28, 42, 9, 2, 5
2024/1/1, 126, 52, 31, 23, 3, 7
2024/1/2, 91, 76, 27, 23, 3, 11
2024/1/3, 155, 89, 35, 31, 3, 12
2024/1/4, 167, 75, 24, 38, 5, 11
2024/1/5, 157, 102, 28, 40, 5, 15
2024/1/6, 184, 48, 24, 18, 4, 8
2024/1/7, 111, 19, 17, 20, 3, 3
2024/1/8, 45, 70, 19, 32, 3, 7
2024/1/9, 131, 79, 21, 21, 3, 8
2024/1/10, 166, 80, 22, 31, 3, 8
2024/1/11, 162, 86, 20, 41, 4, 9
2024/1/12, 168, 106, 37, 41, 5, 10
2024/1/13, 180, 74, 39, 19, 3, 8
2024/1/14, 158, 24, 24, 11, 2, 5
2024/1/15, 59, 21, 28, 17, 2, 4
